time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],GPS_time (GMT+9:00),latitude [x0.000001 deg],longitude [x0.000001 deg],GPS_altitude [x0.1 cm]
00020076,0084,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-024,+008,3098,0778,0015,0806,3297,100825,4275,
00020576,0086,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-029,+013,3098,0788,0015,0806,3299,100823,4272,
00021076,0086,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-025,+015,3103,0788,0012,0806,3300,100827,4269,
00021576,0088,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-028,+006,3093,0790,0005,0806,3302,100823,4266,
00022076,0090,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-027,+001,3093,0788,0005,0806,3303,100827,4264,
00022576,0092,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-030,-005,3103,0788,0005,0806,3305,100825,4262,
00023076,0094,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-026,+004,3084,0790,0005,0806,3307,100828,4264,
00023576,0096,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-029,-007,3103,0788,0005,0806,3308,100825,4275,
00024076,0096,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-027,+002,3098,0788,0005,0806,3309,100827,4291,
00024576,0098,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-028,+005,3098,0788,0005,0806,3311,100826,4301,
00025076,0100,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-026,-002,3103,0788,0005,0806,3312,100826,4313,
00025576,0102,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-027,-003,3098,0788,0005,0806,3314,100827,4326,
00026076,0105,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-025,+002,3103,0788,0005,0806,3315,100825,4339,
00026576,0105,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-027,-001,3107,0788,0005,0806,3317,100824,4347,
00027076,0107,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-028,+001,3098,0788,0005,0806,3318,100823,4348,
00027576,0109,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-030,+004,3112,0788,0005,0806,3320,100828,4351,
00028076,0111,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-032,+000,3112,0788,0005,0806,3322,100825,4352,
00028576,0111,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-026,-006,3107,0788,0005,0806,3323,100827,4344,
00029076,0113,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-029,+002,3112,0788,0005,0806,3324,100826,4334,
00029576,0115,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-029,+003,3117,0788,0005,0806,3325,100825,4323,
00030076,0117,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-028,+011,3121,0788,0005,0806,3327,100826,4318,
00030576,0117,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-027,-001,3117,0788,0005,0806,3328,100826,4312,
00031076,0121,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-029,+004,3117,0788,0005,0806,3330,100825,4304,
00031576,0121,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-025,+004,3126,0788,0005,0806,3331,100825,4295,
00032076,0123,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-028,+003,3126,0788,0005,0806,3333,100824,4283,
00032576,0126,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-033,-001,3126,0788,0005,0806,3335,100828,4273,
00033076,0128,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-034,+000,3117,0788,0005,0806,3336,100828,4265,
00033576,0128,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-032,+012,3121,0788,0005,0806,3337,100828,4259,
00034076,0130,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-027,+001,3126,0788,0005,0806,3339,100824,4252,
00034576,0132,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-027,-003,3126,0788,0005,0806,3340,100823,4246,
00035076,0134,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-029,+006,3135,0788,0005,0806,3341,100825,4241,
00035576,0134,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-031,+007,3131,0788,0005,0806,3343,100826,4240,
00036076,0136,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-023,+000,3126,0788,0005,0806,3345,100827,4236,
00036576,0138,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-022,+000,3135,0788,0005,0806,3346,100826,4234,
00037076,0140,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-025,+000,3131,0788,0005,0806,3347,100826,4231,
00037576,0142,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-034,+008,3131,0788,0005,0806,3349,100827,4227,
00038076,0144,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-027,+004,3135,0788,0005,0806,3350,100827,4223,
00038576,0144,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-022,+004,3135,0788,0005,0806,3351,100826,4217,
00039076,0147,0000,0000,0000,00,0000,000,082,090,08,-,1,0,-028,+004,3140,0788,0005,0806,3353,100827,4206,
