time*0.5 [s],altitude [cm],rot_old [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg],rot_twe [rpm],thrust_h,thrust_m,thrust_l,rudder,elevator,rudderFB,elevatorFB,rudderTrim,elevatortrim,battVoltage,battCurrent,nunchuckC,nunchuckZ
17,32,0.0,0.0,0.0,3.4,176.2,0.3,0,0,5,90,90,180,180,90,90,791,14,0,0
18,32,0.0,0.0,0.0,3.3,176.0,0.3,0,0,5,90,90,180,180,90,90,791,14,0,0
19,19,0.0,0.0,0.0,3.2,176.0,0.3,0,0,5,90,90,180,180,90,90,791,14,0,0
20,19,0.0,0.0,0.0,3.1,176.2,0.3,0,0,5,90,90,180,180,90,90,791,14,0,0
21,19,0.0,0.0,0.0,3.1,176.1,0.3,0,0,5,90,90,180,180,90,90,791,15,0,0
22,32,0.0,0.0,0.0,3.1,176.3,0.3,0,0,5,90,90,180,180,90,90,790,16,0,0
23,32,0.0,0.0,0.0,3.1,176.2,0.3,0,0,5,90,90,180,180,90,90,791,15,0,0
24,32,0.0,0.0,0.0,3.1,176.1,0.3,0,0,5,90,90,180,180,90,90,791,15,0,0
25,19,0.0,0.0,0.0,3.2,176.1,0.3,0,0,5,90,90,180,180,90,90,790,16,0,0
26,19,0.0,0.0,0.0,3.3,176.0,0.3,0,0,56,90,90,180,180,90,90,791,14,0,0
27,19,0.0,0.0,0.0,3.3,176.2,0.3,0,0,56,90,90,180,180,90,90,791,16,0,0
28,19,0.0,0.0,0.0,3.3,175.9,0.3,0,0,56,90,90,180,180,90,90,791,16,0,0
29,19,0.0,0.0,0.0,3.1,175.8,0.3,0,0,56,90,90,180,180,90,90,790,27,0,0
30,19,0.0,0.0,0.0,3.2,175.7,0.3,0,0,56,90,90,180,180,90,90,790,29,0,0
31,21,0.0,0.0,0.0,3.2,175.7,0.3,0,0,56,90,90,180,180,90,90,790,30,0,0
32,21,0.0,0.0,0.0,3.0,175.5,0.3,0,0,56,90,90,180,180,90,90,791,18,0,0
33,19,0.0,0.0,0.0,3.0,175.1,0.3,0,0,56,90,90,180,180,90,90,788,48,0,0
34,19,0.0,0.0,0.0,2.9,175.7,0.3,0,0,56,90,90,180,180,90,90,791,24,0,0
35,19,0.0,0.0,0.0,2.8,175.6,0.2,0,0,56,90,90,180,180,90,90,789,28,0,0
36,19,0.0,0.0,0.0,1.9,175.4,0.2,0,0,56,90,90,180,180,90,90,790,19,0,0
37,19,0.0,0.0,0.0,0.6,175.4,0.2,0,0,56,90,90,180,180,90,90,790,30,0,0
38,19,0.0,0.0,0.0,0.6,174.7,0.2,0,0,56,90,97,180,180,90,90,790,32,0,0
39,19,0.0,0.0,0.0,0.9,174.0,0.2,0,0,56,90,127,180,180,90,90,789,31,0,0
40,19,0.0,0.0,0.0,0.8,174.3,0.2,0,0,56,90,155,180,180,90,90,790,34,0,0
41,19,0.0,0.0,0.0,0.8,175.4,0.2,0,0,56,90,158,180,180,90,90,789,40,0,0
42,19,0.0,2.863,0.0,1.2,175.7,105.6,0,0,50,90,158,180,180,90,90,790,23,0,0
43,19,0.0,2.643,0.0,1.5,175.3,105.6,0,0,50,90,158,180,180,90,90,790,23,0,0
44,19,0.0,2.32,0.0,1.9,174.3,105.6,0,0,50,90,158,180,180,90,90,791,14,0,0
45,19,0.0,0.689,0.0,2.1,174.8,124.6,0,0,56,90,137,180,180,90,90,791,11,0,0
46,19,0.0,1.486,0.0,1.5,175.3,130.5,0,0,56,90,90,180,180,90,90,792,5,0,0
47,19,0.0,1.458,0.0,1.9,174.9,133.8,0,0,56,90,90,180,180,90,90,789,34,0,0
48,19,0.0,1.145,0.0,2.1,175.5,133.8,0,0,56,90,90,180,180,90,90,790,18,0,0
49,19,0.0,0.099,0.0,0.7,175.6,136.1,0,0,56,90,90,180,180,90,90,791,11,0,0
50,19,0.0,1.897,0.0,0.8,176.1,148.1,0,0,56,90,90,180,180,90,90,791,18,0,0
51,34,0.0,0.733,0.0,0.2,175.5,145.5,0,0,56,90,90,180,180,90,90,790,21,0,0
52,34,0.0,0.668,0.0,-2.3,175.5,145.0,0,0,56,90,90,180,180,90,90,791,5,0,0
53,34,0.0,0.114,0.0,-4.1,176.0,147.2,0,0,56,90,90,180,180,90,90,791,8,0,0
54,19,0.0,0.005,0.0,-4.6,175.8,151.0,0,0,56,90,90,180,180,90,90,791,6,0,0
55,19,0.0,0.562,0.0,-5.9,105.2,154.5,0,0,56,90,133,180,180,90,90,790,10,0,0
56,19,0.0,0.309,0.0,-7.0,-179.1,150.8,0,0,0,90,136,180,180,90,90,791,5,0,0
57,19,0.0,0.011,0.0,-6.6,-178.8,154.0,0,0,0,90,105,180,180,90,90,792,6,0,0
58,19,0.0,0.064,0.0,-6.6,-107.0,155.9,0,0,7,90,90,180,180,90,90,789,28,0,0
59,19,0.0,3.686,0.0,-7.8,-35.9,150.9,0,0,56,90,50,180,180,90,90,780,149,0,0
60,19,0.0,2.144,0.0,-9.3,35.6,147.7,0,0,0,90,50,180,180,90,90,791,11,0,0
61,19,0.0,2.576,0.0,-9.6,-35.9,148.1,0,0,0,90,40,180,180,90,90,788,36,0,0
62,19,0.0,0.23,0.0,-9.3,-178.2,147.7,0,0,0,90,60,180,180,90,90,785,87,0,0
63,19,0.0,0.229,0.0,-9.8,-177.4,147.7,0,0,0,90,111,180,180,90,90,788,62,0,0
64,19,0.0,0.028,0.0,-8.9,-177.9,137.2,0,0,0,90,90,180,180,90,90,788,42,0,0
65,19,0.0,0.191,0.0,-7.4,-178.6,143.0,0,568,540,90,91,180,180,90,90,790,20,0,0
66,19,0.0,0.007,0.0,-6.9,-178.2,134.7,0,568,6831,90,90,180,180,90,90,791,5,0,0
67,19,0.0,0.065,0.0,-4.8,-178.2,117.5,0,570,2122,90,90,180,180,90,90,790,18,0,0
68,19,0.0,0.171,0.0,-3.0,-179.2,117.5,0,570,2122,90,90,180,180,90,90,790,15,0,0
69,19,0.0,0.043,0.0,-2.8,-107.5,84.2,0,568,9004,90,125,180,180,90,90,791,6,0,0
70,19,0.0,4.109,0.0,-2.2,-35.6,72.5,0,568,7514,90,119,180,180,90,90,790,13,0,0
71,19,0.0,0.387,0.0,-0.8,-107.7,72.5,0,568,7514,90,95,180,180,90,90,791,10,0,0
72,19,0.0,0.077,0.0,1.9,178.8,65.2,0,568,1469,90,92,180,180,90,90,791,15,0,0
73,19,0.0,0.005,0.0,2.4,179.2,46.1,0,568,4265,90,90,180,180,90,90,791,13,0,0
74,19,0.0,1.616,0.0,2.1,178.9,46.1,0,568,4265,90,90,180,180,90,90,790,18,0,0
75,19,0.0,6.289,0.0,2.7,177.3,42.2,0,568,6851,90,90,180,180,90,90,791,16,0,0
76,19,0.0,0.003,0.0,3.4,176.6,33.5,0,0,0,90,90,180,180,90,90,791,7,0,0
77,19,0.0,0.003,0.0,3.5,176.2,36.3,0,568,5879,90,90,180,180,90,90,790,18,0,0
78,19,0.0,4.184,0.0,4.4,175.8,33.8,0,568,6559,90,90,180,180,90,90,791,11,0,0
79,19,0.0,3.152,0.0,5.4,175.3,32.0,0,568,6788,90,90,180,180,90,90,789,32,0,0
80,19,0.0,3.589,0.0,5.6,176.7,25.5,0,568,2966,90,90,180,180,90,90,790,25,0,0
81,19,0.0,3.848,0.0,5.3,177.1,18.0,0,0,18,90,90,180,180,90,90,791,11,0,0
82,19,0.0,3.848,0.0,5.6,175.6,18.0,0,0,18,90,90,180,180,90,90,791,8,0,0
83,19,0.0,3.589,0.0,5.2,174.7,18.0,0,0,5684,90,90,180,180,90,90,790,17,0,0
84,19,0.0,3.589,0.0,4.9,175.3,18.0,0,0,5684,90,90,180,180,90,90,790,23,0,0
85,19,0.0,4.109,0.0,4.2,175.2,15.6,0,0,0,90,90,180,180,90,90,791,13,0,0
86,19,0.0,4.109,0.0,3.7,174.8,15.6,0,0,0,90,90,180,180,90,90,791,11,0,0
87,19,0.0,5.473,0.0,3.6,174.8,13.2,0,8,5681,90,90,180,180,90,90,790,25,0,0
88,19,0.0,5.473,0.0,3.4,174.8,13.2,0,8,5681,90,90,180,180,90,90,790,16,0,0
89,19,0.0,5.473,0.0,3.7,174.6,13.2,0,8,5681,90,90,180,180,90,90,790,17,0,0
90,19,0.0,5.473,0.0,3.5,174.1,13.2,0,8,5681,90,90,180,180,90,90,791,17,0,0
91,19,0.0,5.473,0.0,4.1,173.8,13.2,0,8,5681,90,90,180,180,90,90,791,14,0,0
92,19,0.0,0.0,0.0,4.3,174.2,14.5,0,0,56,90,90,180,180,90,90,791,11,0,0
93,19,0.0,0.0,0.0,3.9,174.2,14.5,0,0,56,90,90,180,180,90,90,791,6,0,0
94,19,0.0,0.0,0.0,3.9,174.4,14.5,0,0,56,90,90,180,180,90,90,791,14,0,0
95,19,0.0,0.0,0.0,4.0,174.2,14.5,0,0,56,90,90,180,180,90,90,791,11,0,0
96,19,0.0,0.0,0.0,4.4,173.6,12.0,0,0,0,90,90,180,180,90,90,791,17,0,0
97,19,0.0,0.0,0.0,4.4,174.2,12.0,0,0,0,90,90,180,180,90,90,791,10,0,0
98,19,0.0,0.0,0.0,4.4,174.4,5.5,0,5,6608,90,90,180,180,90,90,791,5,0,0
99,19,0.0,0.0,0.0,3.8,174.5,5.5,0,5,6608,90,90,180,180,90,90,790,17,0,0
100,19,0.0,0.0,0.0,3.4,174.5,5.5,0,5,6608,90,90,180,180,90,90,791,14,0,0
101,19,0.0,0.0,0.0,3.3,174.7,5.5,0,5,6608,90,90,180,180,90,90,790,14,0,0
102,19,0.0,0.0,0.0,3.2,174.8,5.5,0,5,6608,90,90,180,180,90,90,791,7,0,0
103,19,0.0,0.0,0.0,3.1,174.7,5.2,0,568,1475,90,90,180,180,90,90,791,16,0,0
104,19,0.0,0.0,0.0,3.0,174.7,5.2,0,568,1475,90,90,180,180,90,90,791,14,0,0
105,19,0.0,0.0,0.0,3.0,174.9,5.2,0,568,1475,90,90,180,180,90,90,790,17,0,0
106,19,0.0,0.0,0.0,3.1,175.1,5.2,0,568,1475,90,90,180,180,90,90,791,17,0,0
107,19,0.0,0.0,0.0,3.0,175.1,5.2,0,0,0,90,90,180,180,90,90,791,15,0,0
108,19,0.0,0.0,0.0,3.1,175.1,5.2,0,0,0,90,90,180,180,90,90,792,15,0,0
109,19,0.0,0.0,0.0,3.1,175.0,5.2,0,0,0,90,90,180,180,90,90,790,14,0,0
110,19,0.0,0.0,0.0,3.1,175.1,5.2,0,568,1851,90,90,180,180,90,90,791,13,0,0
111,19,0.0,0.0,0.0,3.0,175.3,5.2,0,568,1851,90,90,180,180,90,90,791,15,0,0
112,19,0.0,0.0,0.0,3.0,175.2,5.2,0,0,0,90,90,180,180,90,90,791,15,0,0
113,19,0.0,0.0,0.0,3.0,175.2,5.2,0,0,0,90,90,180,180,90,90,791,14,0,0
114,19,0.0,0.0,0.0,2.9,175.5,5.2,0,568,1977,90,90,180,180,90,90,790,15,0,0
115,19,0.0,0.0,0.0,3.0,175.6,5.2,0,568,1977,90,90,180,180,90,90,791,13,0,0
116,19,0.0,0.0,0.0,2.9,175.7,5.2,0,568,1977,90,90,180,180,90,90,791,15,0,0
117,19,0.0,0.0,0.0,2.9,175.5,5.2,0,568,1977,90,90,180,180,90,90,791,13,0,0
118,19,0.0,0.0,0.0,2.9,175.3,5.2,0,568,1977,90,90,180,180,90,90,791,14,0,0
119,19,0.0,0.0,0.0,3.1,175.5,5.2,0,568,1192,90,90,180,180,90,90,791,14,0,0
120,19,0.0,0.0,0.0,2.9,175.9,5.2,0,568,1192,90,90,180,180,90,90,791,13,0,0
121,19,0.0,0.0,0.0,2.9,175.9,5.2,0,568,1192,90,90,180,180,90,90,791,9,0,0
122,19,0.0,0.0,0.0,3.0,175.7,5.2,0,568,1192,90,90,180,180,90,90,791,15,0,0
123,19,0.0,0.0,0.0,3.0,175.6,5.2,0,0,0,90,90,180,180,90,90,790,17,0,0
124,19,0.0,0.0,0.0,3.0,175.8,5.2,0,0,0,90,90,180,180,90,90,790,17,0,0
125,19,0.0,0.0,0.0,3.0,175.8,5.2,0,568,871,90,90,180,180,90,90,790,14,0,0
126,19,0.0,0.0,0.0,2.9,175.7,5.2,0,568,871,90,90,180,180,90,90,791,15,0,0
127,19,0.0,0.0,0.0,3.0,175.7,5.2,0,568,871,90,90,180,180,90,90,791,14,0,0
128,19,0.0,0.0,0.0,3.1,175.7,5.2,0,0,0,90,90,180,180,90,90,790,16,0,0
129,19,0.0,0.0,0.0,3.0,175.8,5.2,0,0,0,90,90,180,180,90,90,791,17,0,0
130,19,0.0,0.0,0.0,2.9,175.8,4.2,0,568,648,90,90,180,180,90,90,790,16,0,0
131,19,0.0,0.0,0.0,2.8,175.8,4.2,0,568,648,90,90,180,180,90,90,790,16,0,0
132,19,0.0,0.0,0.0,2.9,175.9,4.2,0,568,648,90,90,180,180,90,90,790,17,0,0
133,19,0.0,0.0,0.0,2.9,176.0,4.2,0,568,648,90,90,180,180,90,90,791,17,0,0
134,19,0.0,0.0,0.0,3.0,175.9,4.2,0,0,0,90,90,180,180,90,90,790,16,0,0
135,19,0.0,0.0,0.0,3.2,175.8,4.2,0,0,0,90,90,180,180,90,90,790,17,0,0
136,19,0.0,0.0,0.0,3.0,175.9,4.2,0,0,0,90,90,180,180,90,90,791,17,0,0
137,19,0.0,0.0,0.0,2.9,176.0,4.2,0,568,527,90,90,180,180,90,90,789,16,0,0
138,19,0.0,0.0,0.0,3.0,175.9,4.2,0,568,527,90,90,180,180,90,90,791,17,0,0
139,19,0.0,0.0,0.0,3.1,175.9,4.2,0,0,0,90,90,180,180,90,90,791,15,0,0
140,19,0.0,0.0,0.0,3.0,175.9,4.2,0,0,0,90,90,180,180,90,90,791,16,0,0
141,19,0.0,0.0,0.0,3.0,176.1,4.2,0,567,9980,90,90,180,180,90,90,790,16,0,0
142,19,0.0,0.0,0.0,3.0,176.1,4.2,0,567,9980,90,90,180,180,90,90,791,15,0,0
143,19,0.0,0.0,0.0,2.9,175.9,4.2,0,567,9980,90,90,180,180,90,90,790,14,0,0
144,19,0.0,0.0,0.0,2.8,175.9,4.2,0,567,9980,90,90,180,180,90,90,791,13,0,0
145,19,0.0,0.0,0.0,2.7,175.9,4.2,0,567,9980,90,90,180,180,90,90,790,14,0,0
146,19,0.0,0.0,0.0,2.9,175.8,4.2,0,0,56,90,90,180,180,90,90,790,15,0,0
147,19,0.0,0.0,0.0,2.9,176.0,4.2,0,0,56,90,90,180,180,90,90,791,15,0,0
148,19,0.0,0.0,0.0,2.9,176.0,4.2,0,0,56,90,90,180,180,90,90,791,13,0,0
149,19,0.0,0.0,0.0,2.8,175.9,4.2,0,0,56,90,90,180,180,90,90,790,15,0,0
150,19,0.0,0.0,0.0,2.8,175.8,1.2,0,0,568,90,90,180,180,90,90,791,14,0,0
151,19,0.0,0.0,0.0,2.8,175.8,1.2,0,0,568,90,90,180,180,90,90,791,14,0,0
152,19,0.0,0.0,0.0,2.9,175.8,1.2,0,0,56,90,90,180,180,90,90,791,16,0,0
153,19,0.0,0.0,0.0,3.0,175.8,1.2,0,0,56,90,90,180,180,90,90,790,17,0,0
154,19,0.0,0.0,0.0,2.9,176.0,1.2,0,0,56,90,90,180,180,90,90,790,15,0,0
155,19,0.0,0.0,0.0,3.0,175.9,1.2,0,0,568,90,90,180,180,90,90,790,14,0,0
156,19,0.0,0.0,0.0,2.9,175.9,1.2,0,0,568,90,90,180,180,90,90,791,15,0,0
157,19,0.0,0.0,0.0,2.8,175.9,20.0,0,0,0,90,90,180,180,90,90,790,15,0,0
158,19,0.0,0.0,0.0,2.9,175.8,20.0,0,0,0,90,90,180,180,90,90,791,15,0,0
159,19,0.0,0.0,0.0,2.9,175.8,20.0,0,0,0,90,90,180,180,90,90,790,17,0,0
160,19,0.0,0.0,0.0,2.8,175.9,20.0,0,0,0,90,90,180,180,90,90,791,16,0,0
161,19,0.0,0.0,0.0,2.8,175.8,0.8,0,567,5006,90,90,180,180,90,90,791,15,0,0
162,19,0.0,0.0,0.0,2.8,175.5,0.8,0,567,5006,90,90,180,180,90,90,791,17,0,0
163,19,0.0,0.0,0.0,2.8,175.6,0.8,0,567,5006,90,90,180,180,90,90,790,20,0,0
164,19,0.0,0.0,0.0,2.8,176.1,0.8,0,0,0,90,90,180,180,90,90,790,17,0,0
165,19,0.0,0.0,0.0,2.7,176.1,0.8,0,0,0,90,90,180,180,90,90,791,15,0,0
166,21,0.0,0.0,0.0,2.6,176.3,0.8,0,567,9960,90,90,180,180,90,90,791,16,0,0
167,21,0.0,0.0,0.0,2.8,176.1,0.8,0,567,9960,90,90,180,180,90,90,791,17,0,0
168,21,0.0,0.0,0.0,2.8,175.9,0.8,0,567,9960,90,90,180,180,90,90,790,15,0,0
169,19,0.0,0.0,0.0,2.8,175.8,0.8,0,567,9960,90,90,180,180,90,90,790,16,0,0
170,19,0.0,0.0,0.0,2.8,176.0,0.8,0,0,0,90,90,180,180,90,90,790,19,0,0
171,19,0.0,0.0,0.0,2.8,176.3,0.8,0,0,0,90,90,180,180,90,90,791,15,0,0
172,21,0.0,0.0,0.0,2.8,176.2,0.8,0,0,0,90,90,180,180,90,90,790,14,0,0
173,21,0.0,0.0,0.0,2.8,176.2,0.8,0,567,9489,90,90,180,180,90,90,791,15,0,0
174,21,0.0,0.0,0.0,2.8,176.3,0.8,0,567,9489,90,90,180,180,90,90,791,17,0,0
175,21,0.0,0.0,0.0,2.9,176.3,0.8,0,567,9489,90,90,180,180,90,90,791,14,0,0
176,19,0.0,0.0,0.0,2.8,176.0,0.8,0,567,9489,90,90,180,180,90,90,790,17,0,0
177,19,0.0,0.0,0.0,2.8,176.0,0.8,0,0,0,90,90,180,180,90,90,790,15,0,0
