time*0.5 [s],altitude [cm],rot_old [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg],rot_twe [rpm],thrust_h,thrust_m,thrust_l,rudder,elevator,rudderFB,elevatorFB,rudderTrim,elevatortrim,battVoltage,battCurrent,nunchuckC,nunchuckZ
1,32,0.0,0.0,0.0,3.3,176.0,0.0,0,0,0,90,90,180,180,90,90,789,12,0,0
2,32,0.0,2.195,0.0,3.0,175.9,0.5,0,0,0,90,90,180,180,90,90,789,14,0,0
3,32,0.0,2.195,0.0,2.9,176.0,0.5,0,0,0,90,90,180,180,90,90,789,15,0,0
4,32,0.0,6.552,0.0,3.2,175.9,50.2,0,0,0,90,90,180,180,90,90,789,15,0,0
5,32,0.0,6.552,0.0,3.2,175.8,50.2,0,0,0,90,90,180,180,90,90,789,14,0,0
6,32,0.0,6.552,0.0,3.2,175.6,50.2,0,0,0,90,90,180,180,90,90,789,11,0,0
7,32,0.0,0.0,0.0,3.2,175.7,50.2,0,0,0,90,90,180,180,90,90,789,14,0,0
8,32,0.0,0.0,0.0,3.1,175.8,50.2,0,0,0,90,90,180,180,90,90,789,15,0,0
9,31,0.0,0.0,0.0,2.8,175.7,50.2,0,0,0,90,90,180,180,90,90,789,15,0,0
10,31,0.0,0.0,0.0,3.2,175.6,50.2,0,0,0,90,90,180,180,90,90,789,15,0,0
11,31,0.0,0.0,0.0,3.2,176.0,0.5,0,0,56,90,90,180,180,90,90,788,14,0,0
12,31,0.0,0.0,0.0,3.2,176.0,0.5,0,0,56,90,90,180,180,90,90,789,14,0,0
13,31,0.0,0.0,0.0,3.0,175.9,0.5,0,0,56,90,90,180,180,90,90,789,15,0,0
14,31,0.0,0.0,0.0,3.1,175.9,0.5,0,0,56,90,90,180,180,90,90,788,15,0,0
15,31,0.0,0.0,0.0,3.1,175.9,0.5,0,0,56,90,90,180,180,90,90,789,16,0,0
16,31,0.0,0.0,0.0,3.0,176.0,0.5,0,0,56,90,90,180,180,90,90,788,15,0,0
17,31,0.0,0.0,0.0,3.1,176.1,0.5,0,0,56,90,90,180,180,90,90,789,14,0,0
18,29,0.0,0.0,0.0,3.2,176.0,0.5,0,0,56,90,90,180,180,90,90,789,14,0,0
19,29,0.0,0.0,0.0,3.0,175.9,0.5,0,0,56,90,90,180,180,90,90,789,13,0,0
20,44,0.0,0.0,0.0,3.1,176.0,0.5,0,0,56,90,90,180,180,90,90,789,16,0,0
21,44,0.0,0.0,0.0,3.1,175.8,0.5,0,0,56,90,90,180,180,90,90,789,14,0,0
22,44,0.0,0.0,0.0,3.1,175.8,0.5,0,0,56,90,90,180,180,90,90,789,17,0,0
23,41,0.0,0.0,0.0,3.0,176.0,0.5,0,0,56,90,90,180,180,90,90,789,15,0,0
24,41,0.0,0.0,0.0,3.0,176.1,0.5,0,0,56,90,90,180,180,90,90,788,13,0,0
25,41,0.0,0.0,0.0,2.9,176.2,0.5,0,0,56,90,90,180,180,90,90,789,13,0,0
26,526,0.0,0.0,0.0,3.1,176.1,0.5,0,0,56,90,90,180,180,90,90,789,11,0,0
27,526,0.0,0.0,0.0,3.1,176.0,0.5,0,0,56,90,90,180,180,90,90,789,15,0,0
28,36,0.0,0.0,0.0,3.1,176.1,0.5,0,0,56,90,90,180,180,90,90,789,14,0,0
29,36,0.0,0.0,0.0,3.0,176.0,0.5,0,0,56,90,90,180,180,90,90,789,15,0,0
30,36,0.0,0.0,0.0,3.1,175.7,0.5,0,0,56,90,90,180,180,90,90,788,15,0,0
31,39,0.0,0.0,0.0,3.1,176.1,0.5,0,0,56,90,90,180,180,90,90,789,12,0,0
32,39,0.0,0.0,0.0,3.1,176.2,0.5,0,0,56,90,90,180,180,90,90,788,14,0,0
33,39,0.0,0.0,0.0,3.2,176.0,0.5,0,0,56,90,90,180,180,90,90,789,15,0,0
34,42,0.0,0.0,0.0,3.0,175.7,0.6,0,0,56,90,90,180,180,90,90,789,8,0,0
35,42,0.0,0.0,0.0,2.9,175.9,0.6,0,0,56,90,90,180,180,90,90,789,9,0,0
36,42,0.0,0.0,0.0,3.0,176.1,0.6,0,0,56,90,90,180,180,90,90,788,15,0,0
37,39,0.0,0.0,0.0,3.1,175.8,0.6,0,0,56,90,90,180,180,90,90,788,16,0,0
38,39,0.0,0.0,0.0,3.1,176.0,0.6,0,0,56,90,90,180,180,90,90,789,15,0,0
39,39,0.0,0.0,0.0,3.1,175.9,0.6,0,0,56,90,90,180,180,90,90,788,16,0,0
40,41,0.0,0.0,0.0,3.1,175.9,0.6,0,0,567,90,90,180,180,90,90,789,15,0,0
41,41,0.0,0.0,0.0,3.1,176.0,0.6,0,0,567,90,90,180,180,90,90,788,15,0,0
42,44,0.0,0.0,0.0,3.0,176.0,0.6,0,0,567,90,90,180,180,90,90,789,15,0,0
43,44,0.0,0.0,0.0,3.0,175.7,0.6,0,0,0,90,90,180,180,90,90,789,12,0,0
44,44,0.0,0.0,0.0,3.0,175.9,0.6,0,0,0,90,90,180,180,90,90,788,14,0,0
45,39,0.0,0.0,0.0,3.0,176.1,0.6,0,0,0,90,90,180,180,90,90,789,14,0,0
46,39,0.0,0.0,0.0,3.0,176.2,0.6,0,0,0,90,90,180,180,90,90,789,15,0,0
47,39,0.0,0.0,0.0,3.2,176.1,0.6,0,0,567,90,90,180,180,90,90,789,13,0,0
48,44,0.0,0.0,0.0,3.0,175.9,0.6,0,0,567,90,90,180,180,90,90,789,13,0,0
49,44,0.0,0.0,0.0,2.9,176.4,0.6,0,0,567,90,90,180,180,90,90,789,14,0,0
50,44,0.0,0.0,0.0,2.9,176.1,0.6,0,0,567,90,90,180,180,90,90,789,16,0,0
51,39,0.0,0.0,0.0,3.0,176.2,0.6,0,0,567,90,90,180,180,90,90,788,16,0,0
52,39,0.0,0.0,0.0,2.9,176.0,0.6,0,0,0,90,90,180,180,90,90,788,14,0,0
53,39,0.0,0.0,0.0,2.9,175.8,0.6,0,0,0,90,90,180,180,90,90,788,15,0,0
54,39,0.0,0.0,0.0,3.0,176.1,0.6,0,0,0,90,90,180,180,90,90,789,16,0,0
55,39,0.0,0.0,0.0,3.0,176.4,0.6,0,0,0,90,90,180,180,90,90,789,19,0,0
56,41,0.0,0.0,0.0,3.0,176.6,0.6,0,0,0,90,90,180,180,90,90,788,15,0,0
57,41,0.0,0.0,0.0,3.1,176.3,0.6,0,0,0,90,90,180,180,90,90,788,14,0,0
58,41,0.0,0.0,0.0,3.0,175.8,0.6,0,0,0,90,90,180,180,90,90,788,14,0,0
59,39,0.0,0.0,0.0,3.2,176.1,0.6,0,0,0,90,90,180,180,90,90,789,14,0,0
60,39,0.0,0.0,0.0,3.2,176.1,0.6,0,0,0,90,90,180,180,90,90,789,14,0,0
61,39,0.0,0.0,0.0,3.1,176.3,0.6,0,0,0,90,90,180,180,90,90,789,15,0,0
62,39,0.0,0.0,0.0,3.0,176.6,0.6,0,0,0,90,90,180,180,90,90,788,14,0,0
63,39,0.0,0.0,0.0,3.2,176.3,0.6,0,0,0,90,90,180,180,90,90,789,6,0,0
64,39,0.0,0.0,0.0,3.0,176.1,0.6,0,0,0,90,90,180,180,90,90,788,15,0,0
65,39,0.0,0.0,0.0,3.1,175.6,0.6,0,0,0,90,90,180,180,90,90,788,14,0,0
66,39,0.0,0.0,0.0,3.1,175.9,0.6,0,0,0,90,90,180,180,90,90,788,16,0,0
67,42,0.0,0.0,0.0,2.9,176.1,0.6,0,0,0,90,90,180,180,90,90,789,14,0,0
68,42,0.0,0.0,0.0,3.1,175.9,0.6,0,0,0,90,90,180,180,90,90,788,21,0,0
69,42,0.0,0.0,0.0,2.5,175.5,0.6,0,0,0,90,90,180,180,90,90,788,15,0,0
70,39,0.0,0.0,0.0,2.4,176.2,0.0,0,0,0,90,90,180,180,90,90,789,15,0,0
71,39,0.0,0.0,0.0,2.4,176.0,0.0,0,0,0,90,90,180,180,90,90,789,9,0,0
