time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],pitch [deg],roll [deg]
1,0,0.0,0.0,-0.3,-0.4
2,0,0.8,2.072,-0.4,-0.4
3,0,-0.4,2.072,-0.5,-0.2
4,0,-0.2,2.072,-0.4,-0.2
5,0,-0.2,2.072,-0.4,-0.1
6,0,-0.1,2.072,-3.44,-0.18
7,0,0.8,1.6576,-3.44,-0.1
8,0,0.8,1.2432,-3.46,-0.06000000000000001
9,0,0.8,0.8288,-3.48,-0.04
10,0,0.8,0.4144,-3.48,-0.06000000000000001
11,0,0.8,0.0,-3.48,-0.1
12,0,-0.1,0.0,-3.5,-0.12
13,0,-0.12,0.0,-3.46,-0.12
14,0,0.8,0.0,-3.44,-0.1
15,0,0.8,0.0,-3.46,-0.08
16,0,0.8,0.0,-3.48,-0.06000000000000001
17,0,0.8,0.0,-3.46,-0.02
18,0,-0.02,0.0,-3.46,0.0
19,0,0.0,0.0,-3.48,0.02
20,0,0.02,0.0,-3.52,0.06000000000000001
21,0,0.8,0.0,-3.46,0.08
22,0,0.8,0.0,-3.42,0.12000000000000002
23,0,0.8,0.0,-3.38,0.1
24,0,0.8,0.0,-3.32,0.08
25,0,0.8,0.0,-3.2199999999999998,0.13999999999999999
26,0,0.8,0.0,-3.24,0.25999999999999995
27,0,0.8,0.0,-3.28,0.22000000000000003
28,0,0.8,0.0,-3.34,0.2
29,0,0.8,0.0,-3.38,0.13999999999999999
30,0,0.8,0.0,-3.34,0.019999999999999997
31,0,0.8,0.0,-3.34,-0.08
32,0,0.8,0.0,-3.34,-0.08000000000000003
33,0,0.8,0.0,-3.32,-1.1102230246251566e-17
34,0,0.8,0.0,-3.36,0.1
35,0,0.8,0.0,-3.42,0.18
36,0,0.8,0.0,-3.42,0.2
37,0,0.8,0.0,-3.42,0.21999999999999997
38,0,0.8,0.0,-3.4,0.22000000000000003
39,0,1.2,0.0,-3.34,0.20000000000000004
40,0,1.2,0.0,-3.3,0.21999999999999997
41,0,1.2,0.0,-3.3,0.3
42,0,1.2,1.147,-3.38,0.33999999999999997
43,0,1.2,2.294,-3.46,0.27999999999999997
44,0,1.2,3.4410000000000003,-3.5,0.13999999999999996
45,0,1.2,4.588,-3.46,0.0
46,0,1.2,5.735,-3.38,-0.2
47,0,1.5,5.735,-3.46,-0.33999999999999997
48,0,1.5,5.735,-3.34,-0.33999999999999997
49,0,1.5,5.735,-3.36,-0.26
50,0,1.5,5.735,-3.38,-0.24
51,0,1.5,4.588,-3.38,-0.22000000000000003
52,0,1.5,3.4410000000000003,-3.12,-0.18
53,0,1.5,2.294,-3.24,-0.18
54,0,-0.18,1.147,-3.7199999999999998,-0.18
55,0,-0.18,0.0,-4.32,-0.16
56,0,98.8,0.0,-5.02,-0.22000000000000003
57,0,98.8,0.0,-5.6,-0.2
58,0,98.8,0.0,-6.0,-0.2
59,0,98.8,0.1516,-5.9399999999999995,-0.3
60,0,132.5,0.3032,-5.72,-0.5399999999999999
61,0,132.5,0.40099999999999997,-5.4,-0.6199999999999999
62,0,132.5,0.4984,-5.16,-0.6799999999999999
63,0,132.5,0.5958,-4.96,-0.6799999999999999
64,0,132.5,0.6961999999999999,-4.94,-0.6799999999999999
65,0,135.8,0.5518,-4.94,-0.6
66,0,135.8,0.5488,-5.08,-0.6
67,0,137.5,0.5673999999999999,-5.3,-0.52
68,0,137.5,0.49820000000000003,-5.0600000000000005,-0.32
69,0,135.3,0.2848,-5.14,0.08000000000000003
70,0,135.3,0.46719999999999995,-5.86,0.5
71,0,137.0,0.7013999999999999,-6.659999999999999,0.8400000000000001
72,0,142.9,0.688,-7.54,0.8799999999999999
73,0,139.4,0.7001999999999999,-8.8,0.7200000000000001
74,0,137.8,0.9401999999999999,-9.559999999999999,0.9199999999999999
75,0,137.8,1.1452,-10.02,0.884
76,0,143.1,0.8334000000000001,-10.24,0.9208000000000001
77,0,143.1,0.8455999999999999,-9.94,1.04496
78,0,143.0,1.3852,-9.3,2.20496
79,0,146.0,1.1114,-8.600000000000001,3.02496
80,0,146.0,0.7173999999999999,-7.760000000000001,4.06096
81,0,145.2,1.3214,-7.08,5.16416
82,0,147.8,1.2146,-6.74,6.0128319999999995
83,0,146.2,1.1954,-6.96,6.0153984
84,0,147.6,1.2024,-7.5,5.938478079999999
85,0,146.4,1.9601999999999997,-8.379999999999999,6.25847808
86,0,146.4,1.4324,-9.64,6.79847808
87,0,148.3,2.1287999999999996,-11.419999999999998,7.665646079999999
88,0,142.2,2.0908,-13.100000000000001,8.28307968
89,0,141.7,2.932,-14.66,8.736615936
90,0,144.1,2.5812,-15.6,8.9439391232
91,0,144.8,2.4942,-15.88,8.91272694784
92,0,141.7,1.8326,-15.76,8.795272337407999
93,0,142.8,1.4038,-16.04,8.815272337408
94,0,141.0,0.6638,-16.44,8.998656401407999
95,0,139.8,0.2662,-16.84,9.0510644944896
96,0,143.0,1.2437999999999998,-17.4,9.07248956874752
97,0,147.4,2.0624000000000002,-17.6,9.16994417917952
98,0,144.0,2.7268,-17.419999999999998,8.649944179179519
99,0,145.0,2.6422,-16.44,8.28994417917952
100,0,145.0,2.6388,-15.5,7.91021289889792
101,0,141.9,1.658,-14.639999999999999,7.540000000000001
102,0,141.9,1.8686,-14.08,7.26
103,0,141.9,2.0092,-13.7,7.82
104,0,141.9,2.98,-14.459999999999999,8.260000000000002
105,0,144.9,3.0878,-16.32,8.492
106,0,141.6,3.1722,-18.419999999999998,8.750400000000003
107,0,141.0,2.2704,-20.72,8.900480000000002
108,0,142.6,2.1086,-22.8,8.800576000000001
109,0,143.5,1.7429999999999999,-24.32,8.640691200000003
110,0,148.9,1.6398,-25.119999999999997,8.716829440000001
111,0,141.2,1.5554000000000001,-25.58,8.761795328000002
112,0,125.2,1.4154,-25.86,8.764074393600001
113,0,125.2,0.6828000000000001,-26.1,8.736793272320003
114,0,125.2,0.13199999999999998,-26.3,8.724036726784002
115,0,64.7,0.9656,-26.3,8.7407058321408
116,0,64.7,1.0412000000000001,-26.3,8.745481110568964
117,0,57.8,1.7198,-26.3,8.742218267082754
118,0,57.8,2.4474,-26.3,8.737847041779306
119,0,55.4,2.4412,-26.3,8.738057795671164
120,0,56.9,2.3548,-26.3,8.740862009448596
121,0,50.8,3.0455999999999994,-26.3,8.740893244910156
122,0,38.8,2.4226,-26.3,8.739975671778394
123,0,22.8,1.7036000000000002,-26.3,8.739527152717525
124,0,60.4,2.19,-26.3,8.739863174905167
125,0,2.5,1.9924,-26.3,8.740224250751968
126,0,2.5,1.3166,-26.3,8.740096699012643
127,0,2.3,2.2462,-26.3,8.73993738983314
128,0,8.73993738983314,2.3007999999999997,-26.3,8.739929733444088
129,0,8.739929733444088,2.2548000000000004,-26.3,8.7400102495894
130,0,26.6,1.6948,-26.3,8.740039664526247
131,0,8.740039664526247,2.0592,-26.3,8.740002747281105
132,0,22.7,1.5764,-26.3,8.739983956934795
133,0,23.6,1.5211999999999999,-26.3,8.739993270355127
134,0,8.739993270355127,1.0188000000000001,-26.3,8.740005977737335
135,0.0,23.1,1.0344,-26.3,8.740005123366922
136,0.0,21.5,0.993,-26.3,8.739998215135056
137,0,21.5,0.8772,-26.3,8.739997308705847
138,0,8.739997308705847,1.3670000000000002,-26.3,8.739999979060057
139,0,8.739999979060057,1.8548000000000002,-26.3,8.740001320801044
140,0,8.740001320801044,2.4478,-26.3,8.740000389413785
141,0,8.740000389413785,2.6404000000000005,-26.3,8.739999442623159
