time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],
00887572,0069,0044,3185,1018,30,0000,371,101,090,11,+,1,0,-021,-005,2938,0791,0020,0755,3188,101321,6433,
00888072,0069,0063,3185,1018,30,0000,371,101,090,11,+,1,0,-022,-001,2933,0791,0013,0756,3188,101321,6433,
00888572,0069,0082,3185,1018,30,0000,371,101,090,11,+,1,0,-025,+002,2933,0790,0019,0756,3188,101320,6433,
00889072,0069,0055,3185,1018,30,0000,371,101,090,11,+,1,0,-020,+000,2938,0791,0014,0756,3189,101323,6432,
00889572,0069,0058,3185,1018,30,0000,371,101,090,11,+,1,0,-010,-022,2933,0791,0017,0756,3188,101322,6431,
00890072,0069,0067,3185,1018,30,0000,371,101,090,11,+,1,0,-022,-008,2928,0788,0020,0756,3189,101322,6433,
00890572,0069,0058,3185,1018,30,0000,371,101,090,11,+,1,0,-025,-003,2938,0791,0019,0755,3189,101321,6433,
00891072,0071,0065,3185,1018,30,0000,371,101,090,11,+,1,0,-021,-016,2924,0791,0021,0755,3190,101322,6432,
00891572,0069,0071,3185,1018,30,0000,371,101,090,11,+,1,0,-016,-032,2938,0788,0016,0755,3190,101321,6433,
00892072,0069,0063,3185,1018,30,0000,371,101,090,11,+,1,0,-022,-009,2938,0791,0020,0755,3190,101321,6432,
00892572,0069,0073,3185,1018,30,0000,371,101,090,11,+,1,0,-021,-027,2933,0790,0023,0755,3190,101323,6432,
00893072,0069,0073,3185,1018,30,0000,371,101,090,11,+,1,0,-033,-011,2928,0791,0011,0755,3191,101323,6432,
00893572,0069,0075,3185,1018,30,0000,371,101,090,11,+,1,0,-029,-013,2938,0791,0015,0755,3191,101322,6431,
00894072,0069,0082,3185,1018,30,0000,369,101,090,11,+,1,0,-021,-020,2938,0791,0017,0755,3191,101322,6430,
00894572,0069,0077,3185,1018,30,0000,371,101,090,11,+,1,0,-027,-012,2938,0790,0018,0755,3191,101325,6429,
00895072,0069,0079,3188,1018,30,0000,371,101,090,11,+,1,0,-024,-012,2938,0791,0021,0755,3191,101322,6430,
00895572,0069,0084,3185,1018,30,0000,371,101,090,11,+,1,0,-023,+009,2933,0791,0020,0755,3191,101322,6429,
00896072,0069,0086,3185,1018,30,0000,371,101,090,11,+,1,0,-019,-010,2933,0791,0016,0755,3191,101323,6429,
