timestamp,year,month,day,hour,minute,second,longitude,latitude,altitude,groundspeed,airspeed,AoA,SLIP,outside pres,outside temp,AGL,rpm,pitch,roll,yaw,fairing temp,fairing pres,fairing hum,ELV,RUD,ELVtrim,RUDtrim,voltage,current,torque,power,thrust
978,2080,1,5,5,19,24,35.024410,135.779434,61.10,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.62,340.06,16,1015.02,61,90,90,90,90,7.46,0.32,0.00,0.00,0.00
978,2080,1,5,5,19,24,35.024410,135.779434,61.10,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.62,340.06,16,1015.02,61,90,90,90,90,7.46,0.32,0.00,0.00,0.00
978,2080,1,5,5,19,24,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.62,340.06,16,1015.01,61,90,90,90,90,7.46,0.32,0.00,0.00,0.00
978,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.62,340.06,16,1015.01,61,90,90,90,90,7.49,0.07,0.00,0.00,0.00
978,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.25,5.56,340.12,16,1015.01,61,90,90,90,90,7.48,0.06,0.00,0.00,0.00
978,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.25,5.56,340.12,16,1015.01,61,90,90,90,90,7.39,0.80,0.00,0.00,0.00
979,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.25,5.56,340.12,16,1015.02,61,90,90,90,90,7.47,0.18,0.00,0.00,0.00
979,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.25,5.56,340.12,16,1014.99,61,90,90,90,90,7.47,0.18,0.00,0.00,0.00
979,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.25,5.50,340.12,16,1015.00,61,90,90,90,90,7.45,0.23,0.00,0.00,0.00
979,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,18,34,0,-2.25,5.50,340.12,16,1015.00,61,90,90,90,90,7.47,0.20,0.00,0.00,0.00
979,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,18,34,0,-2.25,5.50,340.12,16,1015.01,61,90,90,90,90,7.48,0.08,0.00,0.00,0.00
979,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.25,5.50,340.12,16,1015.01,61,90,90,90,90,7.41,0.38,0.00,0.00,0.00
979,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.43,340.12,16,1015.02,61,90,90,90,90,7.43,0.45,0.00,0.00,0.00
979,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.50,340.00,16,1014.99,61,90,90,90,90,7.43,0.45,0.00,0.00,0.00
980,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.50,340.00,16,1015.00,61,90,90,90,90,7.43,0.45,0.00,0.00,0.00
980,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.50,339.93,16,1015.00,61,90,90,90,90,7.46,0.25,0.00,0.00,0.00
980,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,17,34,0,-2.19,5.62,339.75,16,1014.99,61,90,90,90,90,7.46,0.25,0.00,0.00,0.00
980,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,18,34,0,-2.19,5.62,339.75,16,1014.99,61,90,90,90,90,7.46,0.25,0.00,0.00,0.00
980,2080,1,5,5,19,37,35.024410,135.779434,61.00,0.00,0.00,0.00,-36.30,1144,18,34,0,-2.07,6.00,339.37,16,1014.99,61,90,90,90,90,7.46,0.37,0.00,0.00,0.00
