timestamp,year,month,day,hour,minute,second,longitude,latitude,altitude,groundspeed,airspeed,AoA,SLIP,outside pres,outside temp,AGL,rpm,pitch,roll,yaw,fairing temp,fairing pres,fairing hum,ELV,RUD,ELVtrim,RUDtrim,voltage,current,torque,power,thrust
11,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,0.00,-69.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.33,44,90,90,90,90,7.49,0.53,0.00,0.00,0.00
11,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,0.00,-69.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.32,44,90,90,90,90,7.49,0.53,0.00,0.00,0.00
11,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,0.00,-69.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.34,44,90,90,90,90,7.49,0.53,0.00,0.00,0.00
11,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,0.00,-74.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.34,44,90,90,90,90,7.49,0.53,0.00,0.00,0.00
11,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,0.00,-64.60,1076,20,26,0,-1.63,-0.13,359.37,19,1010.31,44,90,90,90,90,7.49,0.53,0.00,0.00,0.00
11,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,0.00,-63.60,1076,20,24,0,-1.63,-0.13,359.37,19,1010.31,44,90,90,90,90,7.52,0.76,0.00,0.00,0.00
11,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,0.00,-61.60,1076,20,24,0,-1.63,-0.13,359.37,19,1010.33,44,90,90,90,90,7.52,0.76,0.00,0.00,0.00
12,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,0.00,-60.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.31,44,90,90,90,90,7.52,0.76,0.00,0.00,0.00
12,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,-41.50,-57.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.32,44,90,90,90,90,7.52,0.76,0.00,0.00,0.00
12,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,-41.50,-57.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.32,44,90,90,90,90,7.52,0.76,0.00,0.00,0.00
12,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,-41.50,-57.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.32,44,90,90,90,90,7.51,0.55,0.00,0.00,0.00
12,0,0,0,9,0,0,0.000000,0.000000,0.00,0.00,0.00,-41.50,-57.60,1076,20,24,0,-1.69,-0.13,359.37,19,1010.30,44,90,90,90,90,7.56,0.42,0.00,0.00,0.00
