time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],
3062072,69,178,907,1010,30,0,391,101,90,11,1,0,-30,49,2919,756,16,756,3172,100612,6582
3062572,69,173,907,1010,30,0,391,101,90,11,1,0,-47,52,2905,758,17,755,3173,100611,6576
3063072,69,174,907,1010,30,0,393,101,90,11,1,0,-34,56,2914,758,18,756,3175,100611,6574
3063572,69,185,907,1010,30,0,391,101,90,11,1,0,-29,47,2914,758,21,756,3175,100612,6568
3064072,69,173,907,1010,30,0,393,101,90,11,1,0,-30,44,2905,758,19,756,3176,100610,6566
3064572,69,180,907,1010,30,0,393,101,90,11,1,0,-22,42,2910,758,17,755,3176,100609,6563
3065072,67,175,907,1010,30,0,393,101,90,11,1,0,-28,53,2914,758,16,756,3177,100611,6559
3065572,69,173,903,1010,30,0,391,101,90,11,1,0,-30,47,2914,758,18,756,3177,100611,6553
3066072,69,171,907,1010,30,0,393,101,90,11,1,0,-34,44,2914,758,20,756,3177,100610,6551
3066572,69,173,907,1010,30,0,393,101,90,11,1,0,-17,44,2910,758,18,756,3178,100608,6549
3067072,71,178,907,1010,30,0,393,101,90,11,1,0,1,38,2905,758,20,756,3177,100612,6547
3067572,71,167,903,1010,30,0,391,101,90,11,1,0,-29,47,2910,758,16,756,3176,100608,6546
3068072,73,165,903,1010,30,0,393,101,90,11,1,0,-13,54,2914,759,11,755,3176,100610,6545
3068572,69,171,903,1010,30,0,391,101,90,11,1,0,-29,42,2910,759,16,756,3176,100607,6544
3069072,69,169,903,1010,30,0,393,101,90,11,1,0,-35,48,2905,758,15,756,3178,100608,6541
3069572,69,166,903,1010,30,0,391,101,90,11,1,0,-52,38,2900,758,16,756,3178,100610,6533
3070072,67,161,903,1010,30,0,391,101,90,11,1,0,-20,39,2905,758,16,756,3179,100610,6529
3070572,69,164,903,1010,30,0,393,101,90,11,1,0,-30,38,2905,756,22,756,3180,100610,6525
3071072,69,158,900,1010,30,0,393,101,90,11,1,0,-31,45,2910,758,21,756,3179,100610,6523
3071572,69,159,900,1010,30,0,393,101,90,11,1,0,-31,48,2905,758,21,756,3179,100611,6522
3072072,67,157,900,1010,30,0,391,101,90,11,1,0,-32,39,2914,758,20,756,3179,100611,6520
3072572,69,146,900,1010,30,0,393,101,90,11,1,0,-34,54,2910,755,15,756,3179,100611,6519
3073072,69,156,896,1010,30,0,393,101,90,11,1,0,-21,51,2919,758,22,756,3179,100611,6516
3073572,69,159,889,1010,30,0,393,101,90,11,1,0,-25,58,2919,756,22,756,3180,100608,6513
3074072,69,152,889,1010,30,0,391,101,90,11,1,0,-37,53,2900,752,21,755,3180,100609,6512
3074572,73,146,885,1010,30,0,391,101,90,11,1,0,-30,55,2914,759,12,756,3180,100608,6513
3075072,71,125,885,1010,30,0,393,101,90,11,1,0,-23,65,2914,758,15,756,3181,100611,6513
3075572,73,132,882,1010,30,0,391,101,90,11,1,0,-41,55,2910,749,17,756,3182,100609,6513
3076072,73,130,878,1010,30,0,393,101,90,11,1,0,-295,408,2910,758,17,756,3183,100611,6515
3076572,73,150,878,1010,30,0,393,101,90,11,1,0,18,-3,2910,758,12,756,3183,100608,6519
3077072,73,143,875,1010,30,0,393,101,90,11,1,0,-25,59,2905,752,16,756,3183,100610,6522
3077572,73,131,875,1010,30,0,393,101,90,11,1,0,-47,74,2910,758,12,756,3184,100610,6524
3078072,75,141,871,1010,30,0,391,101,90,11,1,0,-33,45,2914,758,13,756,3184,100611,6528
3078572,73,146,871,1010,30,0,393,101,90,11,1,0,-21,94,2910,756,16,755,3185,100610,6525
3079072,73,140,868,1010,30,24,393,101,90,11,1,0,-110,27,2924,758,18,756,3185,100610,6526
3079572,73,139,864,1010,30,24,393,101,90,11,1,0,-12,39,2905,758,15,755,3185,100608,6530
