time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
122,0,66.6,2.495,-5.85,2.02,2.55
123,0,73.3,2.614,-5.85,2.02,2.55
124,0,60.0,2.684,-5.82,0.28,3.0
125,0,66.6,2.77,-5.82,0.28,3.0
126,0,76.6,2.839,-5.58,0.28,2.73
127,0,66.6,2.991,-5.58,0.28,2.73
128,0,63.3,3.137,-4.22,1.66,1.01
129,0,83.3,3.2,-4.22,1.66,1.01
130,0,83.3,3.286,-4.13,1.64,1.01
131,0,63.3,3.34,-4.13,1.64,1.01
132,0,73.3,3.544,-4.25,2.43,0.3
133,0,86.6,3.971,-4.25,2.43,0.3
134,0,86.6,4.004,-4.58,2.5,0.85
135,0,86.6,3.738,-4.58,2.5,0.85
136,0,86.6,3.286,-4.58,2.5,0.85
137,0,86.6,3.566,-4.09,0.84,0.31
138,0,66.6,3.792,-4.09,0.84,0.31
139,0,66.6,3.971,-2.56,-0.2,-2.72
140,0,86.6,3.971,-2.56,-0.2,-2.72
141,0,66.6,4.224,-2.31,1.23,-4.6
142,0,70.0,4.265,-2.64,2.78,-3.61
143,0,80.0,4.445,-2.64,2.78,-3.61
144,0,76.6,4.184,-3.34,4.18,-1.04
145,0,66.6,4.601,-3.34,4.18,-1.04
146,0,83.3,4.658,-3.73,1.96,-1.59
147,0,93.3,4.658,-3.73,1.96,-1.59
148,0,80.0,4.397,-4.06,0.8,-2.09
149,0,73.3,4.445,-4.06,0.8,-2.09
150,1,73.3,5.258,-4.03,0.8,-1.26
151,0,76.6,5.077,-4.95,2.08,-2.04
152,0,76.6,5.164,-4.95,2.08,-2.04
153,0,93.3,4.445,-5.52,0.87,-0.31
154,0,83.3,4.073,-5.52,0.87,-0.31
155,1,80.0,4.265,-2.67,0.23,-3.0
156,1,83.3,4.601,-2.67,0.23,-3.0
157,0,83.3,4.445,-0.28,3.04,-3.53
158,0,76.6,4.658,-0.28,3.04,-3.53
159,0,60.0,4.397,0.39,0.97,-4.84
160,0,76.6,4.495,0.39,0.97,-4.84
161,0,76.6,5.258,-1.31,1.01,-3.81
162,1,60.0,4.996,-2.05,1.9,-1.95
