time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,3.3,0.0,-42.87,0.17,1.24
2,0,3.3,0.0,-42.9,0.18,1.33
3,0,3.3,0.0,-42.9,0.18,1.33
4,0,3.3,0.0,-42.89,0.16,1.18
5,0,3.3,0.0,-42.89,0.16,1.18
6,0,3.3,0.0,-42.86,0.15,1.28
7,0,3.3,0.0,-42.86,0.15,1.28
8,0,3.3,0.0,-42.86,0.15,1.19
9,0,3.3,0.0,-42.86,0.15,1.19
10,0,3.3,0.0,-42.86,0.14,1.12
11,0,3.3,0.0,-42.86,0.14,1.18
12,0,3.3,0.0,-42.86,0.14,1.18
13,0,3.3,0.0,-42.89,0.14,1.15
14,0,3.3,0.0,-42.89,0.14,1.15
15,0,3.3,0.0,-42.91,0.15,1.15
16,0,3.3,0.0,-42.91,0.15,1.15
17,0,3.3,0.0,-42.87,0.16,1.4
18,0,3.3,0.0,-42.87,0.16,1.4
19,0,3.3,0.0,-42.85,0.15,1.35
20,0,3.3,0.0,-42.85,0.15,1.33
21,0,3.3,0.0,-42.85,0.15,1.33
22,0,3.3,0.0,-42.84,0.16,1.36
23,0,3.3,0.0,-42.84,0.16,1.36
24,0,3.3,0.0,-42.83,0.16,1.44
25,0,3.3,0.0,-42.83,0.16,1.44
26,0,3.3,0.0,-42.83,0.17,1.36
27,0,3.3,0.0,-42.83,0.17,1.36
28,0,3.3,0.0,-42.81,0.16,1.33
29,0,3.3,0.0,-42.81,0.16,1.33
30,0,3.3,0.0,-42.8,0.17,1.37
31,0,3.3,0.0,-42.81,0.17,1.38
32,0,3.3,0.0,-42.81,0.17,1.38
33,0,3.3,0.0,-42.8,0.16,1.17
34,0,3.3,0.0,-42.8,0.16,1.17
35,0,3.3,0.0,-42.84,0.16,1.21
36,0,3.3,0.0,-42.84,0.16,1.21
37,0,3.3,0.0,-42.84,0.15,1.23
38,0,3.3,0.0,-42.84,0.15,1.23
39,0,3.3,0.0,-42.82,0.15,1.1
40,0,3.3,0.0,-42.82,0.15,1.1
41,0,3.3,0.0,-42.83,0.15,1.08
42,0,3.3,0.0,-42.84,0.16,1.06
43,0,3.3,0.0,-42.84,0.16,1.06
44,0,3.3,0.0,-42.85,0.15,0.97
45,0,3.3,0.0,-42.85,0.15,0.97
46,0,3.3,0.0,-42.84,0.16,1.03
47,0,3.3,0.0,-42.84,0.16,1.03
48,0,3.3,0.0,-42.86,0.16,0.9
49,0,3.3,0.0,-42.86,0.16,0.9
50,0,3.3,0.0,-42.88,0.17,0.94
51,0,3.3,0.0,-42.88,0.17,0.94
52,0,3.3,0.0,-42.91,0.18,0.87
53,0,3.3,0.0,-42.91,0.16,0.88
54,0,3.3,0.0,-42.91,0.16,0.88
55,0,3.3,0.0,-42.97,0.15,0.93
56,0,3.3,0.0,-42.97,0.15,0.93
57,0,3.3,0.0,-42.96,0.15,0.84
58,0,3.3,0.0,-42.96,0.15,0.84
59,0,3.3,0.0,-42.97,0.14,0.98
60,0,3.3,0.0,-42.97,0.14,0.98
61,0,3.3,0.0,-42.99,0.17,1.07
62,0,3.3,0.0,-42.99,0.17,1.07
63,0,3.3,0.0,-42.99,0.17,1.07
64,0,3.3,0.0,-43.0,0.17,1.25
65,0,3.3,0.0,-43.0,0.17,1.25
66,0,3.3,0.0,-43.02,0.17,1.32
67,0,3.3,0.0,-43.02,0.17,1.32
68,0,3.3,0.0,-43.04,0.16,1.33
69,0,3.3,0.0,-43.04,0.16,1.33
70,0,3.3,0.0,-43.06,0.17,1.28
71,0,3.3,0.0,-43.06,0.17,1.28
72,0,3.3,0.0,-43.08,0.16,1.29
73,0,3.3,0.0,-43.08,0.16,1.29
74,0,3.3,0.0,-43.13,0.17,1.31
75,0,3.3,0.0,-43.15,0.18,1.37
76,0,3.3,0.0,-43.15,0.18,1.37
77,0,3.3,0.0,-43.16,0.16,1.11
78,0,3.3,0.0,-43.16,0.16,1.11
79,0,3.3,0.0,-43.16,0.15,1.12
80,0,3.3,0.0,-43.16,0.15,1.12
81,0,3.3,0.0,-43.1,0.15,0.99
82,0,3.3,0.0,-43.1,0.15,0.99
83,0,3.3,0.0,-43.09,0.13,1.0
84,0,3.3,0.0,-43.09,0.14,0.95
85,0,3.3,0.0,-43.09,0.14,0.95
86,0,3.3,0.0,-43.07,0.13,1.08
87,0,3.3,0.0,-43.07,0.13,1.08
88,0,3.3,0.0,-43.04,0.13,1.07
89,0,3.3,0.0,-43.04,0.13,1.07
90,0,3.3,0.0,-43.03,0.14,1.15
91,0,3.3,0.0,-43.03,0.14,1.15
92,0,3.3,0.0,-43.02,0.15,1.08
93,0,3.3,0.0,-43.02,0.15,1.08
94,0,3.3,0.0,-43.02,0.15,1.08
95,0,3.3,0.0,-43.03,0.15,1.24
96,0,3.3,0.0,-43.03,0.15,1.24
97,0,3.3,0.0,-43.02,0.14,1.22
98,0,3.3,0.0,-43.02,0.14,1.22
