time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,33,0.0,-24.33,0.24,-0.03
2,0,33,0.0,-24.33,0.24,-0.03
3,0,33,0.0,-24.35,0.28,-0.01
4,0,33,0.0,-24.35,0.28,-0.01
5,0,33,0.0,-24.39,0.27,0.12
6,0,33,0.0,-24.38,0.26,0.01
7,1,33,0.0,-24.38,0.26,0.01
8,1,33,0.0,-24.39,0.25,-0.04
9,1,33,0.0,-24.39,0.25,-0.04
10,1,33,0.0,-24.44,0.26,-0.2
11,1,33,0.0,-24.44,0.26,-0.2
12,1,33,0.0,-24.5,0.25,-0.47
13,1,33,0.0,-24.46,0.25,-0.68
14,1,33,0.0,-24.46,0.25,-0.68
15,1,33,0.0,-24.46,0.25,-0.68
16,1,33,0.0,-24.46,0.25,-0.68
17,1,33,0.0,-24.42,0.26,-0.65
18,1,33,0.0,-24.42,0.26,-0.65
19,1,33,0.0,-24.38,0.25,-0.76
20,1,33,0.0,-24.38,0.25,-0.76
21,1,33,0.0,-24.4,0.26,-0.47
22,1,33,0.0,-24.4,0.26,-0.47
23,1,33,0.0,-24.41,0.25,-0.42
24,1,33,0.0,-24.41,0.25,-0.42
25,1,33,0.0,-24.44,0.25,-0.43
26,1,33,0.0,-24.44,0.25,-0.43
27,1,33,0.0,-24.44,0.25,-0.43
28,1,33,0.0,-24.45,0.25,-0.49
29,1,33,0.0,-24.45,0.25,-0.49
30,1,33,0.0,-24.46,0.25,-0.37
31,1,33,0.0,-24.46,0.25,-0.37
32,1,33,0.0,-24.46,0.27,-0.33
33,1,33,0.0,-24.46,0.27,-0.33
34,1,33,0.0,-24.44,0.25,-0.44
35,1,33,0.0,-24.44,0.25,-0.44
36,1,33,0.0,-24.44,0.25,-0.44
37,1,33,0.0,-24.45,0.26,-0.26
38,1,33,0.0,-24.45,0.26,-0.26
39,1,33,0.0,-24.47,0.26,-0.3
40,1,33,0.0,-24.47,0.26,-0.3
41,1,33,0.0,-24.53,0.26,-0.34
42,1,33,0.0,-24.53,0.26,-0.34
43,1,33,0.0,-24.57,0.23,-0.44
44,1,33,0.0,-24.57,0.23,-0.44
45,1,33,0.0,-24.6,0.26,-0.4
46,1,33,0.0,-24.6,0.26,-0.4
47,1,33,0.0,-24.64,0.24,-0.48
48,0,33,0.0,-24.64,0.26,-0.5
49,0,33,3.792,-24.64,0.26,-0.5
50,1,33,3.792,-24.65,0.27,-0.18
51,1,33,3.792,-24.65,0.27,-0.18
52,1,33,3.792,-24.63,0.24,-0.49
53,1,33,3.792,-24.63,0.24,-0.49
54,1,33,3.792,-24.67,0.24,-0.33
55,1,33,3.792,-24.67,0.24,-0.33
56,1,33,3.792,-24.67,0.24,-0.33
