time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
1,0,33,0.0,-21.27,0.19,-1.01
2,0,33,0.0,-21.26,0.2,-0.76
3,0,33,0.0,-21.26,0.2,-0.76
4,0,33,0.0,-21.28,0.2,-0.83
5,0,33,0.0,-21.28,0.2,-0.83
6,0,33,0.0,-21.28,0.2,-0.83
7,0,33,0.0,-21.28,0.2,-0.83
8,0,33,0.0,-21.28,0.21,-0.84
9,0,33,0.0,-21.28,0.21,-0.84
10,0,33,0.0,-21.37,0.2,-0.73
11,0,33,0.0,-21.37,0.2,-0.73
12,0,33,0.0,-21.37,0.18,-0.76
13,0,33,0.0,-21.36,0.2,-0.72
14,0,33,0.0,-21.36,0.2,-0.72
15,0,33,0.0,-21.33,0.18,-0.59
16,0,33,0.0,-21.33,0.18,-0.59
17,0,33,0.0,-21.26,0.22,-0.98
18,0,33,0.0,-21.26,0.22,-0.98
19,0,33,0.0,-21.3,0.16,-0.96
20,0,33,0.0,-21.3,0.16,-0.96
21,0,33,0.0,-21.42,0.17,-1.12
22,0,33,0.0,-21.42,0.17,-1.12
23,0,33,0.0,-21.4,0.18,-1.33
24,0,33,0.0,-21.42,0.16,-1.23
25,0,33,0.0,-21.42,0.16,-1.23
26,0,33,0.0,-21.46,0.16,-1.55
27,0,33,0.0,-21.46,0.16,-1.55
28,0,33,0.0,-21.45,0.16,-1.44
29,0,33,0.0,-21.45,0.16,-1.44
30,0,33,0.0,-21.48,0.15,-1.63
31,0,33,2.478,-21.48,0.15,-1.63
32,0,33,2.478,-21.51,0.15,-1.37
33,0,33,2.478,-21.51,0.15,-1.37
34,0,33,2.478,-21.52,0.14,-1.38
35,0,33,2.478,-21.55,0.15,-1.36
36,0,33,2.478,-21.55,0.15,-1.36
37,0,33,2.478,-21.54,0.14,-1.34
38,0,33,2.478,-21.54,0.14,-1.34
39,0,33,2.478,-21.53,0.17,-1.3
40,0,33,0.0,-21.53,0.17,-1.3
41,0,33,0.0,-21.52,0.16,-1.19
42,0,33,0.0,-21.52,0.18,-1.15
43,0,33,0.0,-21.52,0.18,-1.15
44,0,33,0.0,-21.51,0.17,-1.11
45,0,33,0.0,-21.51,0.17,-1.11
46,0,33,0.0,-21.51,0.19,-1.18
47,0,33,0.0,-21.51,0.19,-1.18
48,0,33,0.0,-21.54,0.18,-1.13
49,0,33,0.0,-21.54,0.18,-1.13
50,0,33,0.0,-21.55,0.18,-1.33
51,0,33,0.0,-21.55,0.18,-1.33
52,0,33,0.0,-21.54,0.16,-1.39
53,0,33,0.0,-21.54,0.16,-1.39
54,0,33,0.0,-21.51,0.16,-1.51
55,0,33,0.0,-21.52,0.18,-1.5
56,0,33,0.0,-21.52,0.18,-1.5
57,0,33,0.0,-21.51,0.11,-1.5
58,0,33,0.0,-21.51,0.11,-1.5
59,0,33,0.0,-21.51,0.14,-1.48
60,0,33,0.0,-21.51,0.14,-1.48
61,0,33,0.0,-21.49,0.15,-1.56
62,0,33,0.0,-21.49,0.15,-1.56
63,0,33,0.0,-21.47,0.15,-1.58
64,0,33,0.0,-21.45,0.14,-1.6
65,0,33,0.0,-21.45,0.14,-1.6
66,0,33,0.0,-21.45,0.16,-1.39
67,0,33,0.0,-21.45,0.16,-1.39
68,0,33,0.0,-21.44,0.1,-1.38
69,0,33,0.0,-21.44,0.1,-1.38
70,0,33,0.0,-21.37,0.13,-1.45
71,0,33,0.0,-21.37,0.13,-1.45
72,0,33,0.0,-21.39,0.15,-1.3
73,0,33,0.0,-21.39,0.15,-1.3
74,0,33,0.0,-21.41,0.17,-1.35
75,0,33,0.0,-21.41,0.17,-1.35
76,0,33,0.0,-21.45,0.14,-1.13
77,0,33,0.0,-21.44,0.16,-1.25
78,0,33,0.0,-21.44,0.16,-1.25
79,0,33,0.0,-21.45,0.1,-0.85
80,0,33,0.0,-21.45,0.1,-0.85
81,0,33,0.0,-21.47,0.03,-0.99
82,0,66,0.0,-21.47,0.03,-0.99
83,0,33,0.0,-21.44,0.16,-1.17
84,0,33,0.0,-21.44,0.16,-1.17
85,0,33,0.0,-21.44,0.16,-1.17
86,0,33,0.0,-21.44,0.16,-1.17
87,0,33,0.0,-21.44,0.16,-1.17
88,0,33,0.0,-21.48,0.05,-0.7
89,0,33,0.0,-21.48,0.05,-0.7
90,0,33,0.0,-21.48,0.04,-0.74
91,0,33,0.0,-21.48,0.04,-0.74
92,0,33,0.0,-21.49,0.11,-0.76
93,0,33,0.0,-21.48,0.06,-0.88
94,0,33,0.0,-21.48,0.06,-0.88
95,0,33,0.0,-21.55,0.11,-0.79
96,0,33,0.0,-21.55,0.11,-0.79
97,0,33,0.0,-21.55,0.13,-0.75
98,0,66,0.0,-21.55,0.13,-0.75
99,0,200,0.0,-21.51,0.2,-1.18
100,0,366,0.0,-21.51,0.2,-1.18
101,0,500,0.0,-21.56,0.41,-0.71
102,0,566,0.0,-21.56,0.41,-0.71
103,0,600,0.0,-21.63,0.29,-0.19
104,0,633,2.595,-21.63,0.29,-0.19
105,0,633,2.595,-21.64,-0.08,-0.08
106,0,566,2.595,-21.64,-0.08,-0.08
107,0,566,2.595,-21.91,2.02,0.17
108,0,533,2.595,-21.84,1.95,0.09
109,0,466,0.0,-21.84,1.95,0.09
110,0,633,1.719,-21.74,3.01,-0.11
111,0,566,0.187,-21.74,3.01,-0.11
112,0,600,0.187,-21.74,3.01,-0.11
113,0,600,0.187,-21.69,2.56,0.57
114,0,533,0.187,-21.69,2.56,0.57
115,0,666,0.187,-21.8,2.79,1.12
116,0,566,0.207,-21.8,2.79,1.12
117,0,600,0.81,-21.2,3.45,0.25
118,0,666,0.831,-21.2,3.45,0.25
119,0,500,1.198,-21.02,4.42,-2.65
120,0,600,1.757,-21.02,4.42,-2.65
121,0,666,2.049,-21.61,4.63,-2.3
122,0,533,2.27,-21.61,4.63,-2.3
123,1,700,2.444,-22.53,2.24,-2.42
124,1,666,2.557,-22.53,2.24,-2.42
125,1,466,2.694,-22.53,2.24,-2.42
126,0,666,2.875,-23.16,2.75,-4.56
127,0,666,3.005,-23.16,2.75,-4.56
128,0,666,3.061,-23.16,2.75,-4.56
129,0,666,3.137,-23.16,2.75,-4.56
130,0,666,3.047,-21.54,3.46,-3.42
131,0,666,2.964,-21.54,3.46,-3.42
132,0,666,3.184,-21.63,2.2,-6.14
133,0,666,3.234,-21.63,2.2,-6.14
134,0,666,3.047,-21.63,2.2,-6.14
135,0,666,3.322,-21.63,2.2,-6.14
136,0,666,3.5,-21.63,2.2,-6.14
137,0,666,3.304,-20.83,4.23,-6.59
138,1,666,3.661,-20.83,4.23,-6.59
139,1,666,3.764,-21.0,-0.15,-6.87
140,0,666,3.792,-21.0,-0.15,-6.87
141,0,666,4.307,-20.86,-0.41,-7.33
